Name,Age,Place,Season ,1-on-1 week,FIR?,FIR,INTERNATIONAL,NE,NW,SE,SW,Race_0,Race_1,Race_2,Race_3,Race_4,CORPORATE,OTHER,POLITICS,TRADES,TRADITIONAL
Renee Oteri[10],32,4,18,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Chelsie Webster[11],24,5,18,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Sharleen Joynt[12][13],29,6,18,3.0,Yes,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Kathleen ""Kat"" Hurd[14]",29,7,18,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Cassandra Ferguson[15],22,8,18,2.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"Allison ""Alli"" Restko[13]",26,9,18,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Danielle Ronco[16],25,9,18,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Kelly Travis[9][13],27,9,18,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Elise Mosca[17],27,12,18,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Lauren Solomon[18],26,12,18,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Christy Hansen[19],24,14,18,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Lucinda ""Lucy"" Aragon[13]",25,14,18,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Amy Long[20],27,16,18,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Chantel Forrest[21],27,16,18,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Victoria Lima[13],24,18,18,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Alexis Morgado[13][22],24,19,18,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Amy Jokinen[13],31,19,18,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Ashley Poe[13],25,19,18,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Christine Llano[13][23],23,19,18,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Kylie Lewis[13][24],23,19,18,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Lacy Faddoul[13][21],25,19,18,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Lauren Higginson[13],25,19,18,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Maggie Gantt[13][25],25,19,18,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Valerie Eredia[13][26],26,19,18,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Whitney Bischoff[6][7],29,1,19,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Becca Tilley[9][10],25,2,19,5.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Kaitlyn Bristowe[11],29,3,19,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Jade Roper[7][13],28,4,19,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Carly Waddell[3],29,5,19,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Britt Nilsson[7][13],27,6,19,4.0,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Megan Bell[6],24,7,19,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Kelsey Poe[7][16],28,8,19,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Ashley Iaconetti[7][18],26,9,19,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Mackenzie Deonigi[6],21,10,19,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Samantha Steffen[13][19],27,10,19,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Ashley Salter[20],24,12,19,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Juelia Kinney[6][22],30,12,19,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Nikki Delventhal[18],26,12,19,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Jillian Anderson[23][24],25,15,19,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Amber James[6][25],29,16,19,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Tracy Darakis[27],29,16,19,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Trina Scherenberg[13][28],33,16,19,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Alissa Giambrone[18],24,19,19,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Jordan Branch[30],24,19,19,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Kimberly Sherbach[31],28,19,19,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Tandra Steiner[6],30,19,19,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Tara Eddings[6][33],26,19,19,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Amanda Goerlitz[28],24,24,19,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Bo Stanley[34],25,24,19,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Brittany Fetkin[35],26,24,19,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Kara Wilson[36],25,24,19,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Michelle Davis[6],25,24,19,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Nicole Meacham[37][38],31,24,19,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Reegan Cornwell[13],28,24,19,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Lauren Bushnell[9],25,1,20,2.0, ,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Joelle ""JoJo"" Fletcher[6][11]",24,2,20,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
